epoch,time(s),train_loss,test_loss,test_error(%)
001,00010,1.690104,0.01301,0.31
002,00009,1.300500,0.01561,0.39
003,00009,1.180268,0.02295,0.44
004,00009,1.149375,0.02571,0.46
005,00009,1.131011,0.02647,0.47
006,00009,1.125978,0.02637,0.44
007,00009,1.117898,0.02605,0.42
008,00009,1.111232,0.02649,0.40
009,00009,1.110881,0.02658,0.39
010,00009,1.105743,0.02612,0.39
011,00009,1.101136,0.02584,0.37
012,00009,1.096744,0.02493,0.35
013,00009,1.106169,0.02449,0.34
014,00009,1.101723,0.02474,0.36
015,00009,1.092915,0.02427,0.32
016,00009,1.089232,0.02395,0.32
017,00009,1.093900,0.02416,0.32
018,00009,1.092879,0.02338,0.32
019,00009,1.091423,0.02255,0.32
020,00009,1.088504,0.02219,0.34
021,00009,1.083929,0.02245,0.34
022,00009,1.089376,0.02186,0.31
023,00009,1.082536,0.02167,0.32
024,00009,1.083525,0.02157,0.30
025,00009,1.080879,0.02175,0.30
026,00009,1.080456,0.02143,0.30
027,00009,1.081177,0.02141,0.30
028,00009,1.078641,0.02137,0.30
029,00009,1.081713,0.02100,0.31
030,00009,1.081024,0.02047,0.31
031,00009,1.076828,0.02057,0.31
032,00009,1.074281,0.02029,0.34
033,00009,1.076769,0.02024,0.32
034,00009,1.076099,0.02003,0.29
035,00009,1.078869,0.01958,0.29
036,00009,1.074209,0.01959,0.30
037,00009,1.078162,0.01932,0.29
038,00009,1.071298,0.01975,0.27
039,00009,1.072377,0.01934,0.29
040,00009,1.072842,0.01922,0.29
041,00009,1.071789,0.01891,0.27
042,00009,1.071210,0.01865,0.30
043,00009,1.071927,0.01863,0.30
044,00009,1.069892,0.01873,0.29
045,00009,1.072730,0.01871,0.30
046,00009,1.068674,0.01816,0.27
047,00009,1.069257,0.01805,0.30
048,00009,1.068738,0.01823,0.29
049,00009,1.068402,0.01837,0.29
050,00009,1.065568,0.01790,0.29
051,00009,1.071097,0.01756,0.30
052,00009,1.065732,0.01774,0.29
053,00009,1.068812,0.01778,0.30
054,00009,1.068498,0.01802,0.30
055,00009,1.068444,0.01758,0.30
056,00009,1.067790,0.01760,0.30
057,00009,1.071596,0.01739,0.29
058,00009,1.066602,0.01720,0.27
059,00009,1.067627,0.01735,0.29
060,00009,1.069070,0.01722,0.27
061,00009,1.066249,0.01675,0.27
062,00009,1.062673,0.01696,0.29
063,00009,1.067791,0.01706,0.29
064,00009,1.063926,0.01664,0.29
065,00009,1.063867,0.01680,0.26
066,00009,1.062296,0.01672,0.26
067,00009,1.064261,0.01665,0.29
068,00009,1.066727,0.01642,0.27
069,00009,1.063694,0.01654,0.26
070,00009,1.060944,0.01656,0.26
071,00009,1.061814,0.01696,0.26
072,00009,1.059050,0.01673,0.29
073,00009,1.060081,0.01666,0.27
074,00009,1.063721,0.01623,0.26
075,00009,1.060843,0.01647,0.27
076,00009,1.061313,0.01637,0.29
077,00009,1.062498,0.01631,0.29
078,00009,1.059232,0.01603,0.27
079,00009,1.060256,0.01620,0.27
080,00009,1.061693,0.01649,0.31
081,00009,1.059686,0.01609,0.27
082,00009,1.060492,0.01589,0.29
083,00009,1.060558,0.01614,0.27
084,00009,1.058767,0.01602,0.30
085,00009,1.057757,0.01599,0.29
086,00009,1.060823,0.01576,0.30
087,00009,1.060708,0.01538,0.30
088,00009,1.057384,0.01575,0.31
089,00009,1.057998,0.01570,0.31
090,00009,1.059954,0.01585,0.31
091,00009,1.060425,0.01561,0.31
092,00009,1.058458,0.01550,0.31
093,00009,1.059847,0.01540,0.27
094,00009,1.057179,0.01569,0.31
095,00009,1.057602,0.01582,0.31
096,00009,1.056895,0.01522,0.29
097,00009,1.058304,0.01531,0.29
098,00009,1.059470,0.01560,0.30
